"t1.dt","sender_region_code","receiver_region_code","sender_org_count","receiver_org_count","assortment","count_brand","cnt_moved"
2022-10-16,"43","77",1,1,1,1,16
2022-05-31,"50","56",5,3,98,15,928
2022-04-05,"77","59",1,1,1,1,3
2022-07-14,"58","66",1,1,2,2,2
2022-10-30,"64","71",1,1,1,1,1
2022-11-15,"74","66",1,1,3,1,6
2022-02-04,"77","27",4,9,52,27,166
2022-09-27,"18","02",1,3,105,23,296
2022-04-20,"71","51",1,1,1,1,1
2021-11-25,"43","23",1,1,3,2,3
2022-07-21,"77","23",6,4,41,18,46
2021-12-02,"23","30",3,1,3,1,24
2022-10-26,"78","13",1,1,1,1,8856
2021-12-24,"77","25",6,14,134,25,2018
2022-02-22,"76","76",2,2,32,2,72
2022-10-06,"77","02",4,4,46,9,330
2022-02-16,"26","26",6,16,293,56,25363
2022-03-04,"36","31",2,6,58,13,125
2022-09-15,"77","78",16,8,278,57,48255
2022-07-17,"18","59",1,1,103,22,192
2021-12-03,"50","50",10,21,503,45,50681
2022-03-09,"77","25",4,6,92,22,1040
2022-11-06,"66","46",2,2,6,5,11
2022-09-22,"52","42",1,1,101,1,173
2021-11-29,"71","57",1,1,19,2,34
2022-08-22,"77","02",3,3,56,7,163
2022-10-20,"27","28",1,1,20,2,20
2022-02-25,"78","34",1,1,1,1,1
2022-05-20,"35","29",2,2,76,10,99
2022-11-15,"77","78",17,11,317,48,16760
2022-09-04,"50","77",1,1,1,1,16728
2022-01-25,"50","50",6,9,107,25,31148
2022-09-02,"59","16",1,3,35,14,59
2022-10-28,"50","75",2,3,14,3,27
2022-09-15,"74","66",1,8,37,6,80
2021-11-27,"77","27",3,4,42,26,58
2022-11-03,"18","02",1,4,74,17,689
2022-06-08,"54","86",1,1,3,1,8
2022-04-29,"77","23",8,4,46,18,75316
2022-02-02,"43","23",1,1,1,1,1
2022-03-23,"76","76",1,2,16,3,23
2022-02-24,"77","21",1,1,1,1,1
2022-01-20,"52","61",1,1,73,1,148
2022-06-07,"77","25",4,5,87,21,301
2022-08-01,"22","42",3,21,393,42,884
2022-09-03,"77","91",1,1,409,81,2341
2022-06-11,"78","34",1,1,2,2,4
2021-12-10,"66","65",1,1,213,20,292
2022-07-14,"50","50",11,19,317,28,18537
2022-11-09,"91","91",4,25,182,19,1537
2022-02-11,"50","54",1,1,5,1,18
2022-11-11,"64","77",1,1,1,1,2
2022-05-16,"26","26",7,14,113,36,6666
2022-03-29,"36","31",1,1,6,1,6
2022-02-08,"63","73",2,5,57,18,83
2021-11-24,"38","75",1,4,59,11,98
2022-06-06,"22","19",1,1,10,7,11
2022-10-13,"50","71",2,8,136,22,257
2021-12-15,"50","56",1,1,27,2,75
2022-02-25,"77","59",2,4,56,6,235
2022-08-25,"31","31",1,17,196,34,1227
2021-12-12,"77","23",3,4,29,12,26698
2022-09-16,"23","13",1,1,1,1,6
2022-03-14,"71","51",1,1,2,2,2
2022-05-12,"77","27",4,10,172,45,431
2022-06-13,"50","52",1,1,10,1,14
2022-11-11,"59","12",1,1,1,1,30
2022-09-20,"02","14",1,1,7,2,20
2021-11-23,"63","73",1,3,42,14,86
2022-02-07,"38","75",1,1,54,11,108
2022-04-25,"63","77",1,1,1,1,1
2022-09-29,"31","31",1,11,126,34,298
2022-03-18,"50","56",1,1,3,1,25
2022-01-16,"77","23",3,6,39,10,76668
2022-10-17,"66","40",1,1,1,1,1
2022-07-04,"77","27",2,5,112,37,288
2021-12-02,"16","63",1,1,1,1,24
2022-09-23,"35","76",1,1,19,5,25
2022-08-09,"52","44",1,1,13,1,26
2022-08-17,"45","72",1,1,3,1,3
2022-08-16,"23","11",1,3,20,5,45
2022-06-24,"76","76",1,1,15,4,15
2022-04-09,"77","25",1,5,38,11,64
2022-11-09,"50","73",1,1,14,1,22
2022-02-09,"64","50",1,1,11,5,14
2022-09-17,"91","91",1,3,42,10,50
